partantra	0	1	0
pushprahit	0	1	0
prakand	1	0	0
umda	0.9411764706	0.0588235294	0
apushp	0	1	0
akathya	0	1	0
satyavati	0	1	0
rasikmijaj	0.9230769231	0.0769230769	0
shraddhey	1	0	0
duvidhahin	1	0	0
aprashansaniya	0	1	0
tedha_medha	0	1	0
vajni	1	0	0
thik-thak	1	0	0
sanvaidhanik	1	0	0
uchinn	0	1	0
padakrant	0	1	0
parlaukik	1	0	0
kantiman	0.9375	0.0625	0
adhishthit	1	0	0
nikhattar	0.0192307692	0.9807692308	0
mali	1	0	0
banka	0.9166666667	0.0833333333	0
arth-sambandhi	0	1	0
shushk	0	1	0
naram	0.5555555556	0.4444444444	0
asjag	0	1	0
satark	1	0	0
atung	0	1	0
tunuk-mizaj	0	1	0
anadhyaksh	0	1	0
katil	0	1	0
phapphas	0	1	0
anishtakari	0	1	0
yachi	1	0	0
charitarth	1	0	0
gina_hua	1	0	0
akath	0	1	0
sahsi	1	0	0
shril	1	0	0
vishvasit	1	0	0
adhikanshiya	1	0	0
nagrit	0.05	0.95	0
ghunghardar	0	1	0
napak	0	1	0
akarath	0	1	0
akaraj	0	1	0
lalam	1	0	0
lachar	0	1	0
kaiphi	0.1666666667	0.8333333333	0
beshkimti	0.8333333333	0.1666666667	0
duracharini	0	1	0
lavaris	0	1	0
manav-nirmit	0	1	0
rupye-paise_ka	1	0	0
anuvasit	1	0	0
randhrayukt	0	1	0
vishyashunya	0	1	0
anubhut	1	0	0
viyang	0.9230769231	0.0769230769	0
kalankarhit	1	0	0
muskurata_hua	1	0	0
riju	0.9090909091	0.0909090909	0
lunj	0	1	0
ghosh	1	0	0
ghor	0.2	0.8	0
changa	1	0	0
kunvar	1	0	0
vir	1	0	0
shuru	0.6666666667	0.3333333333	0
asvikarya	0	1	0
anahlad	0	1	0
mithyavadi	0	1	0
sanvarddhit	1	0	0
samarthyavan	1	0	0
durgyey	0	1	0
anbindha	1	0	0
bedaul	0	1	0
hriday-vidarak	0	1	0
anvarth	1	0	0
rupak_alankar_rahit	0	1	0
sambhogi	1	0	0
ashraddhey	0	1	0
amrakhi	0	1	0
kaptamay	0	1	0
dharmatma	1	0	0
upkarta	1	0	0
amnohar	0.0256410256	0.9743589744	0
sautela	0	1	0
vyapt	0	1	0
nindaniya	0	1	0
langghaniya	0	1	0
paritapt	0	1	0
amudh	1	0	0
tandurust	1	0	0
bauna	1	0	0
angushtanuma	0	1	0
shaukin	0.9	0.1	0
rangila	0.8571428571	0.1428571429	0
nirvastra	0.1	0.9	0
khush	1	0	0
avdharniya	1	0	0
irshyak	0	1	0
yathochit	1	0	0
kunchit	0	1	0
gandala	0	1	0
nashahin	1	0	0
amodi	1	0	0
pareshan	0	1	0
aythatath	0	1	0
chokhi	1	0	0
pilpila	0	1	0
anjutha	1	0	0
rasdar	1	0	0
kshem	1	0	0
abhavniya	0	1	0
nirandhra	1	0	0
agva	0	1	0
sana_hua	0	1	0
durjan	0	1	0
upyukt	1	0	0
vazib	1	0	0
virath	0	1	0
sukha	0	1	0
kharij	0.3333333333	0.6666666667	0
uttamtar	1	0	0
aphulla	0	1	0
patki	0	1	0
ajad	1	0	0
anupekshit	1	0	0
manjur	1	0	0
bedam	0	1	0
akrantarhit	1	0	0
adagi	1	0	0
amaryadit	0	1	0
anavashyak	0	1	0
antarmana	0	1	0
tyajniya	0	1	0
tabdar	0	1	0
suvidhajnak	1	0	0
rath_arudha	1	0	0
kalhar	0.0476190476	0.9523809524	0
avimal	0	1	0
kalhari	0	1	0
chota	0.3333333333	0.6666666667	0
deviya	1	0	0
khurkhura	0	1	0
ashanshil	0	1	0
parlaukik	1	0	0
manogat	1	0	0
kirttiman	1	0	0
